Title,Tags,Answered,Link,With code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
ANR (Application not responding) crash in google play console which I don't understand,"java,android,google-play,android-anr-dialog,google-play-console",True,https://stackoverflow.com/questions/50268578/anr-application-not-responding-crash-in-google-play-console-which-i-dont-unde,True,application not responding,No,No,"ANR
Check all your BroadcastReceivers, Serviced and Activities to find if you are running long process on Main Thread for longer duration and exceeding the threshold. Do note that BroadcastReceiver execute code in main thread.
You can also search if you are using Thread.sleep() anywhere in the code. You can find more information here",,,,0,0,0
how to reduce apk size without splitting when linked with opencv native libs?,"android,opencv,size,apk",True,https://stackoverflow.com/questions/50192651/how-to-reduce-apk-size-without-splitting-when-linked-with-opencv-native-libs,True,apk size,No,,,,,,0,0,0
Android Studio Java ANR Memory Leak,"java,android,multithreading,memory-leaks,realm",True,https://stackoverflow.com/questions/50076432/android-studio-java-anr-memory-leak,True," ANR 
memory leak",No,No,,,,,0,0,0
"Android App making ""application not responding"" error example",android,True,https://stackoverflow.com/questions/49991805/android-app-making-application-not-responding-error-example,True,application not responding,Responsiveness,Loop,Just make an infinite while loop on onClick() event of a button so that your application is not responsive to any user input for after clicking that button.,example,,,1,1,1
Out of Memory Error when downloading a large image from Glide,"java,android,bitmap,android-glide",True,https://stackoverflow.com/questions/49894955/out-of-memory-error-when-downloading-a-large-image-from-glide,True,out of memory,Memory Consumption,Image,downloading a large image for Glide,,,,1,1,1
Android: Converting ArrayList to GSON runs out of memory,"java,android,memory,arraylist",True,https://stackoverflow.com/questions/34487717/android-converting-arraylist-to-gson-runs-out-of-memory,True,out of memory,Memory Consumption,Object Creation,Alarm,diff,AlarmManager is a system level class. Putting an array of AlarmManager in each CurrentAlarm and then putting them in sharedPrefs sounds like a really bad idea.,"Just set the long time only in the sharedPrefs to retrieve later. Why need to create all alarms before hand ? Just an example without knowing your entire app/idea, run a Service once a day or something, check the time from shared pref and then create Alarm at that time.",0,1,1
Shouldn´t GC run automatically in Xamarin.Android before running out of memory?,"android,memory-leaks,xamarin,garbage-collection,xamarin.android",True,https://stackoverflow.com/questions/34474379/shouldn%c2%b4t-gc-run-automatically-in-xamarin-android-before-running-out-of-memory,True,out of memory,No,No,"This indicates that, regardless of whether objects are set to null or not, you should still manually call the Xamarin GC if you're allocating/deallocating Callable Wrappers that can potentially consume a large amount of memory.

Operating under the assumption a Java Object is 20 bytes, if one were to allocate and null 100 objects that consume 10MB each, the Xamarin GC believes that 4000 bytes of memory are in use. In reality, ~1GB is in use, and the GC may or may not be invoked.",not sure,,,0,1,0
Android WebView got E/ActivityManager: ANR error when used Custom Keyboard,"android,webview,android-webview,activity-manager",True,https://stackoverflow.com/questions/65121245/android-webview-got-e-activitymanager-anr-error-when-used-custom-keyboard,True, ANR ,No,No,the issue caused by to many process in main thread as My Custom Keyboard is in the same Process with the WebView (because it's still in the same apps). ,example,,,0,0,0
custom ArrayAdapter for listView with images out of memory,"android,image,out-of-memory,android-arrayadapter",True,https://stackoverflow.com/questions/37548349/custom-arrayadapter-for-listview-with-images-out-of-memory,True,out of memory,Memory Consumption,Image,"Turns out images that you load are big enough to cause OutOfMemoryError, learn about Loading Large Bitmaps Efficiently, or switch to using an image loading framework, such as Picasso or Glide.",example,,,1,1,1
Android memory leak Custom view,"android,memory-leaks,android-custom-view",True,https://stackoverflow.com/questions/37296422/android-memory-leak-custom-view,True,memory leak,"Responsiveness
Memory Consumption",View,"You have to remove runnable for animation when view is detached.
Drawing View",example,,,1,1,1
Bitmap on ViewPager causes memory leak,"android,image,android-viewpager,out-of-memory",True,https://stackoverflow.com/questions/24595232/bitmap-on-viewpager-causes-memory-leak,True,memory leak,No,No,"I'm using a ViewPager with PagerAdapter to show a view that contains two ImageViews (one with big image and on with a small icon) and a TextView. As you ""turn the pages"" on the ViewPager, the heap keeps on growing until it crashes on OutOfMemoryError (192MB). The GC is unable to free the space. Even when I switch activities, the heap keeps its size. ",,,,0,0,0
Android data storage performance,"android,mobile",True,https://stackoverflow.com/questions/24576242/android-data-storage-performance,True,data storage,No,,hard to analyze,,,,0,0,0
CWAC camera library out of memory,"android,commonsware-cwac",True,https://stackoverflow.com/questions/24491406/cwac-camera-library-out-of-memory,True,out of memory,Memory Consumption,Third-Party Library,"CWAC Library
I am getting an out of memory trying to take a picture with the CWAC library in android. I am just using a button in the main activity and creating the fragment on the fly.

The preview will come up fine. But when i click the take picture it will crash with out of memory.",new factor,,,1,1,1
BitmapFont Memory Leak,"android,libgdx",True,https://stackoverflow.com/questions/24377897/bitmapfont-memory-leak,True,memory leak,Memory Consumption,Image,"I have several screens that load and unload fonts of different sizes. As time goes by, the memory fills up.
After spending a long time looking for a memory leak, I find this BitmapFont class is leaking. I think it is leaking on native memory because the leak is not seen using Memory Analyzer.
I am following the procedure to clean up the memory according to the current documentation. But this is not enough. What else should I do to ensure the BitmapFont lets go of its memory ?

This might be a bug. Here you can see your constructor. And here a very similar one. The difference is that the 2nd sets the ownsTexture flag. Only if this flag is set, the texture gets disposed.
I will create an issue/PR to fix this problem or at least make it behave the same way, or add a JavaDoc warning.
For now you can solve this problem by doing bitmapFont.setOwnsTexture(true) yourself.",new factor,,,1,1,1
Out of memory error when calling createBitmap [duplicate],"java,android,image,memory,bitmap",True,https://stackoverflow.com/questions/24377840/out-of-memory-error-when-calling-createbitmap,True,out of memory,Memory Consumption,Image,You can reduce the memory when you decode the image in your BitmapFactory.Options through skipping ARGB_8888 and using RGB_565 instead. and inDither to true to preserve image quality.,example,,,1,1,1
How to get programmatically the data usage limit set by user on Android OS configuration?,"android,android-download-manager,network-traffic,user-preferences,android-settings",True,https://stackoverflow.com/questions/24366016/how-to-get-programmatically-the-data-usage-limit-set-by-user-on-android-os-confi,True,data usage,No,,,,,,0,0,0
Android BitmapFactory.decodeFile slows down until out of memory,"android,bitmapfactory",True,https://stackoverflow.com/questions/24355306/android-bitmapfactory-decodefile-slows-down-until-out-of-memory,True,out of memory,"Responsiveness
Memory Consumption",Image,"First of all, you should never expect to catch an Error. Described here: Java documentation An Error is a subclass of Throwable that indicates serious problems that a reasonable application should not try to catch.
There is some help about loading bitmaps: Android Developers | Loading large bitmaps
You can get some more memory by declaring the largeHeap=""true"" attribute in your Application Manifest.
And also the System.gc() call might help freeing some unused memory, but I won't really rely on that call.",example,,,1,1,1
